datetime,upper_band,middle_band,lower_band,open,high,low,close,volume
2023-04-26 11:20:00,212.60812,211.91274,211.21737,212.49001,212.57001,212.38000,212.57001,52866
2023-04-26 11:19:00,212.53556,211.84480,211.15404,212.42000,212.48000,212.31000,212.48000,59195
2023-04-26 11:18:00,212.47391,211.77605,211.07819,212.45010,212.53000,212.36000,212.42999,47556
2023-04-26 11:17:00,212.37249,211.72405,211.07561,212.25000,212.48000,212.21001,212.47000,60176
2023-04-26 11:16:00,212.24415,211.66380,211.08345,212.22000,212.34930,212.17000,212.25000,79631
2023-04-26 11:15:00,212.14399,211.62455,211.10511,211.92999,212.22000,211.78999,212.20500,46564
2023-04-26 11:14:00,212.04109,211.58105,211.12101,211.71001,211.92999,211.67000,211.92999,32614
2023-04-26 11:13:00,211.99239,211.56080,211.12921,211.86000,211.86240,211.62790,211.71001,37662
2023-04-26 11:12:00,211.98797,211.55880,211.12963,211.78500,212.06000,211.77000,211.85500,81620
2023-04-26 11:11:00,211.97346,211.55455,211.13564,211.78000,211.88000,211.73000,211.78000,43309
2023-04-26 11:10:00,211.95988,211.54955,211.13922,211.75500,211.87000,211.73000,211.83000,46291
2023-04-26 11:09:00,211.92647,211.52259,211.11872,211.57990,211.84000,211.53000,211.77991,41578
2023-04-26 11:08:00,211.90385,211.51460,211.12535,211.48000,211.83501,211.46001,211.56000,111792
2023-04-26 11:07:00,211.89836,211.50760,211.11684,211.46500,211.48000,211.28000,211.48000,50215
2023-04-26 11:06:00,211.90072,211.49760,211.09448,211.67999,211.71001,211.38000,211.46001,49885
2023-04-26 11:05:00,211.92360,211.47760,211.03159,211.59000,211.75999,211.55000,211.67000,50133
2023-04-26 11:04:00,211.90429,211.46710,211.02991,211.72000,211.72000,211.45000,211.60500,93341
2023-04-26 11:03:00,211.89408,211.44680,210.99952,211.87000,211.89999,211.56000,211.71001,43638
2023-04-26 11:02:00,211.86323,211.43255,211.00187,211.61000,211.87000,211.61000,211.86000,56046
